coverage_id,policy_tier,specialty,procedure_code,coverage_percentage,requires_preauth,waiting_period_days,max_claim_amount,authority
COV_00001,Premium,Internal Medicine,99213,90,False,0,1000000,MOH_OMAN
COV_00002,Premium,Internal Medicine,99214,99,False,0,1000000,MOH_OMAN
COV_00003,Premium,Internal Medicine,99215,99,False,0,1000000,MOH_OMAN
COV_00004,Premium,Internal Medicine,99201,95,False,0,1000000,DOH_QATAR
COV_00005,Premium,Internal Medicine,99202,96,False,0,1000000,DOH_QATAR
COV_00006,Average,Internal Medicine,99213,80,True,90,500000,MOH_KUWAIT
COV_00007,Average,Internal Medicine,99214,71,True,90,500000,DOH_UAE
COV_00008,Average,Internal Medicine,99215,68,True,90,500000,MOH_KUWAIT
COV_00009,Average,Internal Medicine,99201,61,True,90,500000,CCHI
COV_00010,Average,Internal Medicine,99202,65,True,90,500000,DOH_QATAR
COV_00011,Basic,Internal Medicine,99213,39,True,365,250000,DOH_QATAR
COV_00012,Basic,Internal Medicine,99214,34,True,365,250000,MOH_BAHRAIN
COV_00013,Basic,Internal Medicine,99215,31,True,365,250000,CCHI
COV_00014,Basic,Internal Medicine,99201,49,True,365,250000,DOH_UAE
COV_00015,Basic,Internal Medicine,99202,41,True,365,250000,MOH_OMAN
COV_00016,Premium,Cardiology,93000,90,False,0,1000000,MOH_BAHRAIN
COV_00017,Premium,Cardiology,93015,97,False,0,1000000,CCHI
COV_00018,Premium,Cardiology,93018,93,False,0,1000000,HIPAA
COV_00019,Premium,Cardiology,93350,99,False,0,1000000,MOH_KUWAIT
COV_00020,Premium,Cardiology,93351,91,False,0,1000000,MOH_BAHRAIN
COV_00021,Average,Cardiology,93000,80,True,90,500000,CCHI
COV_00022,Average,Cardiology,93015,61,True,90,500000,MOH_BAHRAIN
COV_00023,Average,Cardiology,93018,62,True,90,500000,MOH_KUWAIT
COV_00024,Average,Cardiology,93350,75,True,90,500000,DOH_QATAR
COV_00025,Average,Cardiology,93351,61,True,90,500000,DOH_UAE
COV_00026,Basic,Cardiology,93000,42,True,365,250000,DOH_UAE
COV_00027,Basic,Cardiology,93015,50,True,365,250000,MOH_KUWAIT
COV_00028,Basic,Cardiology,93018,36,True,365,250000,DOH_UAE
COV_00029,Basic,Cardiology,93350,48,True,365,250000,DOH_QATAR
COV_00030,Basic,Cardiology,93351,31,True,365,250000,MOH_BAHRAIN
COV_00031,Premium,Urology,52000,94,False,0,1000000,DOH_QATAR
COV_00032,Premium,Urology,52310,98,False,0,1000000,CCHI
COV_00033,Premium,Urology,52332,90,False,0,1000000,CCHI
COV_00034,Premium,Urology,52353,95,False,0,1000000,HIPAA
COV_00035,Premium,Urology,52356,93,False,0,1000000,MOH_OMAN
COV_00036,Average,Urology,52000,64,True,90,500000,DOH_QATAR
COV_00037,Average,Urology,52310,71,True,90,500000,HIPAA
COV_00038,Average,Urology,52332,72,True,90,500000,MOH_OMAN
COV_00039,Average,Urology,52353,62,True,90,500000,HIPAA
COV_00040,Average,Urology,52356,61,True,90,500000,CCHI
COV_00041,Basic,Urology,52000,37,True,365,250000,HIPAA
COV_00042,Basic,Urology,52310,41,True,365,250000,CCHI
COV_00043,Basic,Urology,52332,50,True,365,250000,CCHI
COV_00044,Basic,Urology,52353,34,True,365,250000,MOH_BAHRAIN
COV_00045,Basic,Urology,52356,44,True,365,250000,DOH_UAE
COV_00046,Premium,Pediatrics,99381,100,False,0,1000000,HIPAA
COV_00047,Premium,Pediatrics,99382,100,False,0,1000000,MOH_KUWAIT
COV_00048,Premium,Pediatrics,99383,92,False,0,1000000,DOH_UAE
COV_00049,Premium,Pediatrics,99391,95,False,0,1000000,MOH_KUWAIT
COV_00050,Premium,Pediatrics,99392,93,False,0,1000000,MOH_KUWAIT
COV_00051,Average,Pediatrics,99381,71,True,90,500000,HIPAA
COV_00052,Average,Pediatrics,99382,79,True,90,500000,DOH_UAE
COV_00053,Average,Pediatrics,99383,70,True,90,500000,DOH_UAE
COV_00054,Average,Pediatrics,99391,80,True,90,500000,MOH_BAHRAIN
COV_00055,Average,Pediatrics,99392,62,True,90,500000,HIPAA
COV_00056,Basic,Pediatrics,99381,47,True,365,250000,MOH_BAHRAIN
COV_00057,Basic,Pediatrics,99382,48,True,365,250000,DOH_UAE
COV_00058,Basic,Pediatrics,99383,38,True,365,250000,DOH_QATAR
COV_00059,Basic,Pediatrics,99391,39,True,365,250000,MOH_BAHRAIN
COV_00060,Basic,Pediatrics,99392,42,True,365,250000,HIPAA
COV_00061,Premium,OB/GYN,59400,100,False,0,1000000,MOH_BAHRAIN
COV_00062,Premium,OB/GYN,59510,94,False,0,1000000,CCHI
COV_00063,Premium,OB/GYN,59610,100,False,0,1000000,MOH_BAHRAIN
COV_00064,Premium,OB/GYN,58100,100,False,0,1000000,DOH_UAE
COV_00065,Premium,OB/GYN,58150,94,False,0,1000000,HIPAA
COV_00066,Average,OB/GYN,59400,70,True,90,500000,MOH_KUWAIT
COV_00067,Average,OB/GYN,59510,66,True,90,500000,DOH_UAE
COV_00068,Average,OB/GYN,59610,64,True,90,500000,DOH_UAE
COV_00069,Average,OB/GYN,58100,66,True,90,500000,MOH_OMAN
COV_00070,Average,OB/GYN,58150,65,True,90,500000,DOH_QATAR
COV_00071,Basic,OB/GYN,59400,33,True,365,250000,CCHI
COV_00072,Basic,OB/GYN,59510,49,True,365,250000,MOH_KUWAIT
COV_00073,Basic,OB/GYN,59610,44,True,365,250000,MOH_OMAN
COV_00074,Basic,OB/GYN,58100,48,True,365,250000,HIPAA
COV_00075,Basic,OB/GYN,58150,47,True,365,250000,DOH_QATAR
COV_00076,Premium,Emergency,99281,100,False,0,1000000,DOH_QATAR
COV_00077,Premium,Emergency,99282,92,False,0,1000000,HIPAA
COV_00078,Premium,Emergency,99283,91,False,0,1000000,DOH_QATAR
COV_00079,Premium,Emergency,99284,98,False,0,1000000,HIPAA
COV_00080,Premium,Emergency,99285,96,False,0,1000000,MOH_KUWAIT
COV_00081,Average,Emergency,99281,65,True,90,500000,HIPAA
COV_00082,Average,Emergency,99282,77,True,90,500000,HIPAA
COV_00083,Average,Emergency,99283,68,True,90,500000,DOH_UAE
COV_00084,Average,Emergency,99284,71,True,90,500000,MOH_OMAN
COV_00085,Average,Emergency,99285,78,True,90,500000,MOH_BAHRAIN
COV_00086,Basic,Emergency,99281,39,True,365,250000,DOH_QATAR
COV_00087,Basic,Emergency,99282,30,True,365,250000,MOH_BAHRAIN
COV_00088,Basic,Emergency,99283,42,True,365,250000,DOH_UAE
COV_00089,Basic,Emergency,99284,34,True,365,250000,DOH_QATAR
COV_00090,Basic,Emergency,99285,33,True,365,250000,HIPAA
COV_00091,Premium,Orthopedics,27447,95,False,0,1000000,MOH_KUWAIT
COV_00092,Premium,Orthopedics,27130,97,False,0,1000000,MOH_BAHRAIN
COV_00093,Premium,Orthopedics,29881,94,False,0,1000000,HIPAA
COV_00094,Premium,Orthopedics,29882,96,False,0,1000000,DOH_UAE
COV_00095,Premium,Orthopedics,29888,99,False,0,1000000,MOH_BAHRAIN
COV_00096,Average,Orthopedics,27447,77,True,90,500000,DOH_UAE
