rule_id,authority_id,policy_tier,specialty,approval_criteria,documentation_required,processing_time_hours
RULE_00001,HIPAA,Premium,Cardiology,"{'medical_necessity': 'REQUIRED', 'prior_treatment': 'DOCUMENTED', 'network_provider': 'PREFERRED'}","[""Doctor's recommendation"", 'Medical history', 'Diagnostic reports']",4
RULE_00002,HIPAA,Premium,Neurology,"{'medical_necessity': 'REQUIRED', 'prior_treatment': 'DOCUMENTED', 'network_provider': 'PREFERRED'}","[""Doctor's recommendation"", 'Medical history', 'Diagnostic reports']",48
RULE_00003,HIPAA,Average,Cardiology,"{'medical_necessity': 'REQUIRED', 'prior_treatment': 'DOCUMENTED', 'network_provider': 'PREFERRED'}","[""Doctor's recommendation"", 'Medical history', 'Diagnostic reports']",4
RULE_00004,HIPAA,Average,Urology,"{'medical_necessity': 'REQUIRED', 'prior_treatment': 'DOCUMENTED', 'network_provider': 'PREFERRED'}","[""Doctor's recommendation"", 'Medical history', 'Diagnostic reports']",48
RULE_00005,HIPAA,Average,Pediatrics,"{'medical_necessity': 'REQUIRED', 'prior_treatment': 'DOCUMENTED', 'network_provider': 'PREFERRED'}","[""Doctor's recommendation"", 'Medical history', 'Diagnostic reports']",4
RULE_00006,HIPAA,Average,OB/GYN,"{'medical_necessity': 'REQUIRED', 'prior_treatment': 'DOCUMENTED', 'network_provider': 'PREFERRED'}","[""Doctor's recommendation"", 'Medical history', 'Diagnostic reports']",48
RULE_00007,HIPAA,Average,Orthopedics,"{'medical_necessity': 'REQUIRED', 'prior_treatment': 'DOCUMENTED', 'network_provider': 'PREFERRED'}","[""Doctor's recommendation"", 'Medical history', 'Diagnostic reports']",4
RULE_00008,HIPAA,Average,Ophthalmology,"{'medical_necessity': 'REQUIRED', 'prior_treatment': 'DOCUMENTED', 'network_provider': 'PREFERRED'}","[""Doctor's recommendation"", 'Medical history', 'Diagnostic reports']",48
RULE_00009,HIPAA,Basic,Internal Medicine,"{'medical_necessity': 'REQUIRED', 'prior_treatment': 'DOCUMENTED', 'network_provider': 'PREFERRED'}","[""Doctor's recommendation"", 'Medical history', 'Diagnostic reports']",8
RULE_00010,HIPAA,Basic,Cardiology,"{'medical_necessity': 'REQUIRED', 'prior_treatment': 'DOCUMENTED', 'network_provider': 'PREFERRED'}","[""Doctor's recommendation"", 'Medical history', 'Diagnostic reports']",4
RULE_00011,HIPAA,Basic,Urology,"{'medical_necessity': 'REQUIRED', 'prior_treatment': 'DOCUMENTED', 'network_provider': 'PREFERRED'}","[""Doctor's recommendation"", 'Medical history', 'Diagnostic reports']",2
RULE_00012,HIPAA,Basic,Pediatrics,"{'medical_necessity': 'REQUIRED', 'prior_treatment': 'DOCUMENTED', 'network_provider': 'PREFERRED'}","[""Doctor's recommendation"", 'Medical history', 'Diagnostic reports']",2
RULE_00013,HIPAA,Basic,OB/GYN,"{'medical_necessity': 'REQUIRED', 'prior_treatment': 'DOCUMENTED', 'network_provider': 'PREFERRED'}","[""Doctor's recommendation"", 'Medical history', 'Diagnostic reports']",8
RULE_00014,HIPAA,Basic,Emergency,"{'medical_necessity': 'REQUIRED', 'prior_treatment': 'DOCUMENTED', 'network_provider': 'PREFERRED'}","[""Doctor's recommendation"", 'Medical history', 'Diagnostic reports']",8
RULE_00015,HIPAA,Basic,Orthopedics,"{'medical_necessity': 'REQUIRED', 'prior_treatment': 'DOCUMENTED', 'network_provider': 'PREFERRED'}","[""Doctor's recommendation"", 'Medical history', 'Diagnostic reports']",4
RULE_00016,HIPAA,Basic,Neurology,"{'medical_necessity': 'REQUIRED', 'prior_treatment': 'DOCUMENTED', 'network_provider': 'PREFERRED'}","[""Doctor's recommendation"", 'Medical history', 'Diagnostic reports']",4
RULE_00017,HIPAA,Basic,Dermatology,"{'medical_necessity': 'REQUIRED', 'prior_treatment': 'DOCUMENTED', 'network_provider': 'PREFERRED'}","[""Doctor's recommendation"", 'Medical history', 'Diagnostic reports']",24
RULE_00018,HIPAA,Basic,Ophthalmology,"{'medical_necessity': 'REQUIRED', 'prior_treatment': 'DOCUMENTED', 'network_provider': 'PREFERRED'}","[""Doctor's recommendation"", 'Medical history', 'Diagnostic reports']",48
RULE_00019,CCHI,Premium,Internal Medicine,"{'medical_necessity': 'REQUIRED', 'prior_treatment': 'DOCUMENTED', 'network_provider': 'PREFERRED'}","[""Doctor's recommendation"", 'Medical history', 'Diagnostic reports']",24
RULE_00020,CCHI,Premium,Cardiology,"{'medical_necessity': 'REQUIRED', 'prior_treatment': 'DOCUMENTED', 'network_provider': 'PREFERRED'}","[""Doctor's recommendation"", 'Medical history', 'Diagnostic reports']",24
RULE_00021,CCHI,Premium,Urology,"{'medical_necessity': 'REQUIRED', 'prior_treatment': 'DOCUMENTED', 'network_provider': 'PREFERRED'}","[""Doctor's recommendation"", 'Medical history', 'Diagnostic reports']",8
RULE_00022,CCHI,Premium,Neurology,"{'medical_necessity': 'REQUIRED', 'prior_treatment': 'DOCUMENTED', 'network_provider': 'PREFERRED'}","[""Doctor's recommendation"", 'Medical history', 'Diagnostic reports']",48
RULE_00023,CCHI,Premium,Ophthalmology,"{'medical_necessity': 'REQUIRED', 'prior_treatment': 'DOCUMENTED', 'network_provider': 'PREFERRED'}","[""Doctor's recommendation"", 'Medical history', 'Diagnostic reports']",8
RULE_00024,CCHI,Average,Cardiology,"{'medical_necessity': 'REQUIRED', 'prior_treatment': 'DOCUMENTED', 'network_provider': 'PREFERRED'}","[""Doctor's recommendation"", 'Medical history', 'Diagnostic reports']",2
RULE_00025,CCHI,Average,Urology,"{'medical_necessity': 'REQUIRED', 'prior_treatment': 'DOCUMENTED', 'network_provider': 'PREFERRED'}","[""Doctor's recommendation"", 'Medical history', 'Diagnostic reports']",8
RULE_00026,CCHI,Average,Pediatrics,"{'medical_necessity': 'REQUIRED', 'prior_treatment': 'DOCUMENTED', 'network_provider': 'PREFERRED'}","[""Doctor's recommendation"", 'Medical history', 'Diagnostic reports']",24
RULE_00027,CCHI,Average,Neurology,"{'medical_necessity': 'REQUIRED', 'prior_treatment': 'DOCUMENTED', 'network_provider': 'PREFERRED'}","[""Doctor's recommendation"", 'Medical history', 'Diagnostic reports']",48
RULE_00028,CCHI,Average,Dermatology,"{'medical_necessity': 'REQUIRED', 'prior_treatment': 'DOCUMENTED', 'network_provider': 'PREFERRED'}","[""Doctor's recommendation"", 'Medical history', 'Diagnostic reports']",2
RULE_00029,CCHI,Average,Ophthalmology,"{'medical_necessity': 'REQUIRED', 'prior_treatment': 'DOCUMENTED', 'network_provider': 'PREFERRED'}","[""Doctor's recommendation"", 'Medical history', 'Diagnostic reports']",2
RULE_00030,CCHI,Basic,Internal Medicine,"{'medical_necessity': 'REQUIRED', 'prior_treatment': 'DOCUMENTED', 'network_provider': 'PREFERRED'}","[""Doctor's recommendation"", 'Medical history', 'Diagnostic reports']",4
RULE_00031,CCHI,Basic,Cardiology,"{'medical_necessity': 'REQUIRED', 'prior_treatment': 'DOCUMENTED', 'network_provider': 'PREFERRED'}","[""Doctor's recommendation"", 'Medical history', 'Diagnostic reports']",4
RULE_00032,CCHI,Basic,Urology,"{'medical_necessity': 'REQUIRED', 'prior_treatment': 'DOCUMENTED', 'network_provider': 'PREFERRED'}","[""Doctor's recommendation"", 'Medical history', 'Diagnostic reports']",2
RULE_00033,CCHI,Basic,Pediatrics,"{'medical_necessity': 'REQUIRED', 'prior_treatment': 'DOCUMENTED', 'network_provider': 'PREFERRED'}","[""Doctor's recommendation"", 'Medical history', 'Diagnostic reports']",24
RULE_00034,CCHI,Basic,OB/GYN,"{'medical_necessity': 'REQUIRED', 'prior_treatment': 'DOCUMENTED', 'network_provider': 'PREFERRED'}","[""Doctor's recommendation"", 'Medical history', 'Diagnostic reports']",8
RULE_00035,CCHI,Basic,Emergency,"{'medical_necessity': 'REQUIRED', 'prior_treatment': 'DOCUMENTED', 'network_provider': 'PREFERRED'}","[""Doctor's recommendation"", 'Medical history', 'Diagnostic reports']",8
RULE_00036,CCHI,Basic,Orthopedics,"{'medical_necessity': 'REQUIRED', 'prior_treatment': 'DOCUMENTED', 'network_provider': 'PREFERRED'}","[""Doctor's recommendation"", 'Medical history', 'Diagnostic reports']",48
RULE_00037,CCHI,Basic,Neurology,"{'medical_necessity': 'REQUIRED', 'prior_treatment': 'DOCUMENTED', 'network_provider': 'PREFERRED'}","[""Doctor's recommendation"", 'Medical history', 'Diagnostic reports']",4
RULE_00038,CCHI,Basic,Dermatology,"{'medical_necessity': 'REQUIRED', 'prior_treatment': 'DOCUMENTED', 'network_provider': 'PREFERRED'}","[""Doctor's recommendation"", 'Medical history', 'Diagnostic reports']",8
RULE_00039,CCHI,Basic,Ophthalmology,"{'medical_necessity': 'REQUIRED', 'prior_treatment': 'DOCUMENTED', 'network_provider': 'PREFERRED'}","[""Doctor's recommendation"", 'Medical history', 'Diagnostic reports']",4
RULE_00040,DOH_UAE,Premium,Cardiology,"{'medical_necessity': 'REQUIRED', 'prior_treatment': 'DOCUMENTED', 'network_provider': 'PREFERRED'}","[""Doctor's recommendation"", 'Medical history', 'Diagnostic reports']",4
RULE_00041,DOH_UAE,Average,Internal Medicine,"{'medical_necessity': 'REQUIRED', 'prior_treatment': 'DOCUMENTED', 'network_provider': 'PREFERRED'}","[""Doctor's recommendation"", 'Medical history', 'Diagnostic reports']",48
RULE_00042,DOH_UAE,Average,Urology,"{'medical_necessity': 'REQUIRED', 'prior_treatment': 'DOCUMENTED', 'network_provider': 'PREFERRED'}","[""Doctor's recommendation"", 'Medical history', 'Diagnostic reports']",2
RULE_00043,DOH_UAE,Average,Neurology,"{'medical_necessity': 'REQUIRED', 'prior_treatment': 'DOCUMENTED', 'network_provider': 'PREFERRED'}","[""Doctor's recommendation"", 'Medical history', 'Diagnostic reports']",2
RULE_00044,DOH_UAE,Average,Ophthalmology,"{'medical_necessity': 'REQUIRED', 'prior_treatment': 'DOCUMENTED', 'network_provider': 'PREFERRED'}","[""Doctor's recommendation"", 'Medical history', 'Diagnostic reports']",8
RULE_00045,DOH_UAE,Basic,Internal Medicine,"{'medical_necessity': 'REQUIRED', 'prior_treatment': 'DOCUMENTED', 'network_provider': 'PREFERRED'}","[""Doctor's recommendation"", 'Medical history', 'Diagnostic reports']",8
RULE_00046,DOH_UAE,Basic,Cardiology,"{'medical_necessity': 'REQUIRED', 'prior_treatment': 'DOCUMENTED', 'network_provider': 'PREFERRED'}","[""Doctor's recommendation"", 'Medical history', 'Diagnostic reports']",48
RULE_00047,DOH_UAE,Basic,Urology,"{'medical_necessity': 'REQUIRED', 'prior_treatment': 'DOCUMENTED', 'network_provider': 'PREFERRED'}","[""Doctor's recommendation"", 'Medical history', 'Diagnostic reports']",2
RULE_00048,DOH_UAE,Basic,Pediatrics,"{'medical_necessity': 'REQUIRED', 'prior_treatment': 'DOCUMENTED', 'network_provider': 'PREFERRED'}","[""Doctor's recommendation"", 'Medical history', 'Diagnostic reports']",48
RULE_00049,DOH_UAE,Basic,OB/GYN,"{'medical_necessity': 'REQUIRED', 'prior_treatment': 'DOCUMENTED', 'network_provider': 'PREFERRED'}","[""Doctor's recommendation"", 'Medical history', 'Diagnostic reports']",2
RULE_00050,DOH_UAE,Basic,Emergency,"{'medical_necessity': 'REQUIRED', 'prior_treatment': 'DOCUMENTED', 'network_provider': 'PREFERRED'}","[""Doctor's recommendation"", 'Medical history', 'Diagnostic reports']",2
RULE_00051,DOH_UAE,Basic,Orthopedics,"{'medical_necessity': 'REQUIRED', 'prior_treatment': 'DOCUMENTED', 'network_provider': 'PREFERRED'}","[""Doctor's recommendation"", 'Medical history', 'Diagnostic reports']",24
RULE_00052,DOH_UAE,Basic,Neurology,"{'medical_necessity': 'REQUIRED', 'prior_treatment': 'DOCUMENTED', 'network_provider': 'PREFERRED'}","[""Doctor's recommendation"", 'Medical history', 'Diagnostic reports']",2
RULE_00053,DOH_UAE,Basic,Dermatology,"{'medical_necessity': 'REQUIRED', 'prior_treatment': 'DOCUMENTED', 'network_provider': 'PREFERRED'}","[""Doctor's recommendation"", 'Medical history', 'Diagnostic reports']",4
RULE_00054,DOH_UAE,Basic,Ophthalmology,"{'medical_necessity': 'REQUIRED', 'prior_treatment': 'DOCUMENTED', 'network_provider': 'PREFERRED'}","[""Doctor's recommendation"", 'Medical history', 'Diagnostic reports']",2
RULE_00055,DOH_QATAR,Premium,Internal Medicine,"{'medical_necessity': 'REQUIRED', 'prior_treatment': 'DOCUMENTED', 'network_provider': 'PREFERRED'}","[""Doctor's recommendation"", 'Medical history', 'Diagnostic reports']",8
RULE_00056,DOH_QATAR,Premium,Cardiology,"{'medical_necessity': 'REQUIRED', 'prior_treatment': 'DOCUMENTED', 'network_provider': 'PREFERRED'}","[""Doctor's recommendation"", 'Medical history', 'Diagnostic reports']",8
RULE_00057,DOH_QATAR,Premium,Pediatrics,"{'medical_necessity': 'REQUIRED', 'prior_treatment': 'DOCUMENTED', 'network_provider': 'PREFERRED'}","[""Doctor's recommendation"", 'Medical history', 'Diagnostic reports']",4
RULE_00058,DOH_QATAR,Average,Internal Medicine,"{'medical_necessity': 'REQUIRED', 'prior_treatment': 'DOCUMENTED', 'network_provider': 'PREFERRED'}","[""Doctor's recommendation"", 'Medical history', 'Diagnostic reports']",8
